cityName,airportCode,countryCode,longitude,NoTraffic,airportName,countryName,Closed,latitude,departures,previous_week_dep_percent_change,reference_week_dep_percent_change,date
Ciudad Victoria,MMCV,MEX,-98.95644444,FALSE,Gen Pedro Jose Mendez Intl,Mexico,FALSE,23.70343056,1,-66.66666667,0,12/04/2020
Pekanbaru,WIBB,IDN,101.4466667,TRUE,Sultan Syarif Kasim II,Indonesia,FALSE,0.463333333,33,,0,12/04/2020
Kalamata,LGKL,GRC,22.02527778,TRUE,Kalamata,Greece,FALSE,37.06833333,16,,0,12/04/2020
Pointe Noire,FCPP,COG,11.88627778,TRUE,Antonio Agostinho Neto,"Congo, Rep Of",FALSE,-4.814805556,16,,0,12/04/2020
Durham Tees Valley,EGNV,GBR,-1.429444444,TRUE,Durham Tees Valley,UK,FALSE,54.50916667,36,,0,12/04/2020
Manado,WAMM,IDN,124.925,TRUE,Ratulangi,Indonesia,FALSE,1.545555556,17,,0,12/04/2020
Varna,LBWN,BGR,27.82527778,TRUE,Varna,Bulgaria,FALSE,43.23194444,29,,0,12/04/2020
Brownsville,KBRO,USA,-97.42599444,FALSE,Brownsville/South Padre I Intl,USA,FALSE,25.90613333,2,-77.77777778,-91.30434783,12/04/2020
Fuzhou,ZSFZ,CHN,119.665,FALSE,Changle,China,FALSE,25.93333333,1,-50,-99.03846154,12/04/2020
Windsor Locks,KBDL,USA,-72.68336944,FALSE,Bradley Intl,USA,FALSE,41.93914444,2,-66.66666667,-95.65217391,12/04/2020
Roatan,MHRO,HND,-86.52229444,FALSE,Juan Manuel Galvez Intl,Honduras,TRUE,16.31728333,3,0,-86.36363636,12/04/2020
Chiang Rai,VTCT,THA,99.88305556,FALSE,Chiang Rai Intl,Thailand,FALSE,19.95222222,1,0,-93.75,12/04/2020
Sylt,EDXW,DEU,8.342386111,FALSE,Sylt,Germany,FALSE,54.91163611,3,,0,12/04/2020
Jersey,EGJJ,GBR,-2.195525,FALSE,Jersey,UK,FALSE,49.20795278,1,,0,12/04/2020
Mashhad,OIMM,IRN,59.645,TRUE,Shahid Hashemi Nejad Intl,Iran,FALSE,36.23416667,33,,0,12/04/2020
Bahias De Huatulco,MMBT,MEX,-96.26255278,FALSE,Bahias De Huatulco Intl,Mexico,FALSE,15.77532778,3,0,200,12/04/2020
Sandefjord,ENTO,NOR,10.25861111,TRUE,Torp,Norway,FALSE,59.18666667,103,,0,12/04/2020
Dubai,OMDB,ARE,55.36444444,TRUE,Dubai Intl,UAE,FALSE,25.25277778,38,65.2173913,-98.852657,12/04/2020
Foz Do Iguacu,SBFI,BRA,-54.485,FALSE,Cataratas Intl,Brazil,FALSE,-25.60027778,7,,0,12/04/2020
La Rochelle,LFBH,FRA,-1.195277778,TRUE,Ile De Re,France,FALSE,46.17916667,9,,0,12/04/2020
Trabzon,LTCG,TUR,39.78527778,FALSE,Trabzon,Turkey,FALSE,40.99583333,6,,0,12/04/2020
Port Harcourt,DNPO,NGA,6.949530556,FALSE,Port Harcourt,Nigeria,FALSE,5.015458333,3,,0,12/04/2020
Casablanca,GMMN,MAR,-7.581666667,FALSE,Mohammed V Intl,Morocco,FALSE,33.36416667,2,100,-99.68152866,12/04/2020
Abidjan,DIAP,CIV,-3.928655556,FALSE,Felix Houphouet Boigny Intl,Ivory Coast,TRUE,5.254502778,2,100,-98.5915493,12/04/2020
Chengdu,ZUUU,CHN,103.9483333,TRUE,Shuangliu,China,FALSE,30.58,15,-37.5,-95.94594595,12/04/2020
Buffalo,KBUF,USA,-78.73058333,FALSE,Buffalo Niagara Intl,USA,FALSE,42.94041667,2,0,-60,12/04/2020
Hurghada,HEGN,EGY,33.80083333,TRUE,Hurghada Intl,Egypt,FALSE,27.17861111,174,,0,12/04/2020
San Fernando,SADF,ARG,-58.59138889,FALSE,San Fernando Intl,Argentina,FALSE,-34.455,2,,0,12/04/2020
Pavlodar,UASP,KAZ,77.07388889,FALSE,Pavlodar,Kazakhstan,FALSE,52.195,2,,0,12/04/2020
Dayton,KDAY,USA,-84.21941667,FALSE,Cox-Dayton Intl,USA,FALSE,39.90225,1,,0,12/04/2020
Arica,SCAR,CHL,-70.33861111,FALSE,Chacalluta Intl,Chile,FALSE,-18.34861111,1,,0,12/04/2020
Gran Canaria,GCLP,XJE,-15.38666667,TRUE,Gran Canaria,Canary Is,FALSE,27.93194444,11,-56,-97.56637168,12/04/2020
Bydgoszcz,EPBY,POL,17.97777778,TRUE,Szwederowo,Poland,FALSE,53.09666667,27,,0,12/04/2020
Maastricht,EHBK,NLD,5.776944444,FALSE,Maastricht-Aachen,Netherlands,FALSE,50.91583333,5,-16.66666667,-84.375,12/04/2020
Monclova,MMMV,MEX,-101.4710389,FALSE,Monclova Intl,Mexico,FALSE,26.9555,3,,0,12/04/2020
Guayaquil,SEGU,ECU,-79.88388889,FALSE,Jose Joaquin de Olmedo Intl,Ecuador,FALSE,-2.157777778,2,-33.33333333,-98.75,12/04/2020
Managua,MNMG,NIC,-86.16976944,TRUE,Augusto Cesar Sandino Intl,Nicaragua,FALSE,12.14174167,12,-63.63636364,-90.32258065,12/04/2020
Astana,UACC,KAZ,71.46611111,FALSE,Astana,Kazakhstan,FALSE,51.0225,1,0,-99.15254237,12/04/2020
Karlovy Vary,LKKV,CZE,12.915,FALSE,Karlovy Vary,Czech,FALSE,50.20305556,5,,0,12/04/2020
Providence,KPVD,USA,-71.42819444,FALSE,Green State,USA,FALSE,41.724,2,0,-50,12/04/2020
Brazzaville,FCBB,COG,15.2515,FALSE,Maya-Maya,"Congo, Rep Of",FALSE,-4.2505,1,0,-93.33333333,12/04/2020
Nice/Cote D'Azur,LFMN,FRA,7.215,FALSE,Nice/Cote D'Azur,France,FALSE,43.66527778,6,-53.84615385,-99.18256131,12/04/2020
Ontario,KONT,USA,-117.6011944,FALSE,Ontario Intl,USA,FALSE,34.056,5,-44.44444444,-75,12/04/2020
Egal,HCMH,SOM,44.08970833,FALSE,Egal,Somalia,FALSE,9.518088889,3,0,-84.21052632,12/04/2020
St Cloud,KSTC,USA,-94.05988889,FALSE,St Cloud Regl,USA,FALSE,45.54655556,1,,0,12/04/2020
Graz,LOWG,AUT,15.43916667,TRUE,Graz,Austria,FALSE,46.99305556,108,,0,12/04/2020
Greensboro,KGSO,USA,-79.94112222,FALSE,Piedmont Triad Intl,USA,FALSE,36.101325,1,0,-66.66666667,12/04/2020
Belo Horizonte,SBCF,BRA,-43.97194444,FALSE,Tancredo Neves Intl,Brazil,FALSE,-19.62444444,1,0,-94.44444444,12/04/2020
Atyrau,UATG,KAZ,51.82,FALSE,Atyrau,Kazakhstan,FALSE,47.12194444,3,200,-66.66666667,12/04/2020
Khabarovsk,UHHH,RUS,135.1880556,FALSE,Novy,Russia,FALSE,48.52805556,1,0,-94.11764706,12/04/2020
Hohhot,ZBHH,CHN,111.8233333,FALSE,Baita,China,FALSE,40.84833333,2,,0,12/04/2020
Cataratas Del Iguazu,SARI,ARG,-54.47333333,FALSE,Mayor D Carlos Eduardo Krause,Argentina,FALSE,-25.73722222,2,,0,12/04/2020
Tallinn,EETN,EST,24.8325,FALSE,Lennart Meri,Estonia,FALSE,59.41333333,4,-20,-98.83040936,12/04/2020
